Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11,Chrome 98.0.4758.102,,,2022-02-23 09:34:13,2022-02-23 09:34:29,"16,540s",PASSED
,,,,,,,
Test Cases/11,Chrome 98.0.4758.102,,,2022-02-23 09:34:13,2022-02-23 09:34:29,"16,083s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-02-23 09:34:14,2022-02-23 09:34:16,"2,394s",PASSED
"navigateToUrl(""http://172.16.1.21:7802/pt/account/login?returnUrl=%2Fpedidos"")",Chrome 98.0.4758.102,,,2022-02-23 09:34:16,2022-02-23 09:34:17,"0,986s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace - SFA/input_Nome de usurio ou endereo de email_email""), ""mayara.moraes@dataplace.com.br"")",Chrome 98.0.4758.102,,,2022-02-23 09:34:17,2022-02-23 09:34:18,"0,887s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/form_LoginNome de usurio ou endereo de emai_327498""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:18,2022-02-23 09:34:18,"0,457s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Dataplace - SFA/input_Senha_senha""), ""i+K1X3doZYBu6F0i+9QHbg=="")",Chrome 98.0.4758.102,,,2022-02-23 09:34:18,2022-02-23 09:34:19,"0,484s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/button_Login""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:19,2022-02-23 09:34:19,"0,516s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/div_LoginNome de usurio ou endereo de email_d83c56""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:19,2022-02-23 09:34:20,"0,612s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Dataplace - SFA/input_Senha_senha""), ""jBu/h84nUum0DzfFUdyvAQ=="")",Chrome 98.0.4758.102,,,2022-02-23 09:34:20,2022-02-23 09:34:20,"0,421s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/button_Login""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:20,2022-02-23 09:34:21,"0,491s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/div_1690""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:21,2022-02-23 09:34:22,"0,763s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/i_R15,90_fas fa-edit text-primary m-auto""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:22,2022-02-23 09:34:22,"0,729s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dataplace SFA/div_R15,00""), ""R$ 30,00"")",Chrome 98.0.4758.102,,,2022-02-23 09:34:22,2022-02-23 09:34:23,"0,498s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace SFA/input_Quantidade_quantidade""), quantidade)",Chrome 98.0.4758.102,,,2022-02-23 09:34:23,2022-02-23 09:34:24,"0,929s",PASSED
out.println(quantidade),Chrome 98.0.4758.102,,,2022-02-23 09:34:24,2022-02-23 09:34:24,"0,021s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/input_Descontos_f13006f7-bd1a-4c10-947c-34b_e96160""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:24,2022-02-23 09:34:24,"0,546s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace SFA/input_Descontos_f13006f7-bd1a-4c10-947c-34b_e96160""), desconto)",Chrome 98.0.4758.102,,,2022-02-23 09:34:24,2022-02-23 09:34:25,"0,949s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/div_""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:25,2022-02-23 09:34:26,"0,528s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/div_Descontos""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:26,2022-02-23 09:34:26,"0,389s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/input_R_precoLiquido""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:26,2022-02-23 09:34:27,"0,619s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace SFA/input_R_precoLiquido""), precoLiq)",Chrome 98.0.4758.102,,,2022-02-23 09:34:27,2022-02-23 09:34:27,"0,754s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dataplace SFA/div_R13,50""), subTotal)",Chrome 98.0.4758.102,,,2022-02-23 09:34:27,2022-02-23 09:34:28,"0,466s",PASSED
"if (subTotal != ""R$ 27,00"")",Chrome 98.0.4758.102,,,2022-02-23 09:34:28,2022-02-23 09:34:28,"0,000s",PASSED
else,Chrome 98.0.4758.102,,,2022-02-23 09:34:28,2022-02-23 09:34:28,"0,001s",PASSED
"out.println(""passou por aqui"")",Chrome 98.0.4758.102,,,2022-02-23 09:34:28,2022-02-23 09:34:28,"0,000s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/div_Confirmar""))",Chrome 98.0.4758.102,,,2022-02-23 09:34:28,2022-02-23 09:34:28,"0,418s",PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-02-23 09:34:28,2022-02-23 09:34:29,"0,679s",PASSED
