Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Adicionar descontos ao pedido,Chrome 97.0.4692.99,,,2022-02-08 11:08:53,2022-02-08 11:09:34,"40,659s",FAILED
,,,,,,,
Test Cases/TC01- Adicionar descontos ao pedido,Chrome 97.0.4692.99,,,2022-02-08 11:08:53,2022-02-08 11:09:34,"40,137s",FAILED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-08 11:08:54,2022-02-08 11:08:57,"2,432s",PASSED
"navigateToUrl(""http://172.16.1.21:7802/pt/account/login?returnUrl=%2Fpedidos"")",Chrome 97.0.4692.99,,,2022-02-08 11:08:57,2022-02-08 11:08:57,"0,926s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace - SFA/input_Nome de usurio ou endereo de email_email""), ""mayara.moraes@dataplace.com.br"")",Chrome 97.0.4692.99,,,2022-02-08 11:08:57,2022-02-08 11:08:58,"0,861s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Dataplace - SFA/input_Senha_senha""), ""jBu/h84nUum0DzfFUdyvAQ=="")",Chrome 97.0.4692.99,,,2022-02-08 11:08:58,2022-02-08 11:08:59,"0,472s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/button_Login""))",Chrome 97.0.4692.99,,,2022-02-08 11:08:59,2022-02-08 11:08:59,"0,524s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/div_1631""))",Chrome 97.0.4692.99,,,2022-02-08 11:08:59,2022-02-08 11:09:00,"0,810s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/button_R54,00_minibutton btn default-btn bt_b87cf5""))",Chrome 97.0.4692.99,,,2022-02-08 11:09:00,2022-02-08 11:09:01,"0,730s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dataplace SFA/div_R30,00""), ""R$ 30,00"")",Chrome 97.0.4692.99,,,2022-02-08 11:09:01,2022-02-08 11:09:01,"0,495s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace SFA/input_Quantidade_quantidade""), quantidade)",Chrome 97.0.4692.99,,,2022-02-08 11:09:01,2022-02-08 11:09:02,"0,916s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace SFA/input_Descontos_726247b5-c265-4956-a961-ba5_aae85e""))",Chrome 97.0.4692.99,,,2022-02-08 11:09:02,2022-02-08 11:09:34,"31,302s",FAILED
